,sentiment,preprocess
7365,neutral,found thro mama
7366,sadness,sunni hot london today offic crank spreadsheet
7367,worry,jdubb funki job guess neglect
7368,worry,bsnl stupid net went without email whole day
7369,worry,follow bastard brother
7370,happiness,jare wear green shirt sparkli eye yee hear asylm highli disorgan hang
7371,sadness,seem like r push wcm site realli cant beleiv pro havent heard joomla drupal
7372,surprise,agre everybodi would excit goe ohhhh nooooo ms screw
7373,sadness,work weekend
7374,worry,total impress could wish otaku instead get horribl noseble see bishonen
7375,worry,ehh carnt stand hot weather
7376,surprise,wake appear miss much
7377,worry,ugh feel sick stomach five hour work go
7378,neutral,ye r hour go
7379,neutral,noth witti say
7380,love,thank matanggap ako
7381,sadness,beer garden ipod friday night shame got work tomorrow
7382,empty,act like dick show suck last night
7383,neutral,revisingg
7384,neutral,wish could say weather mumbai hot horribl guess friday reason
7385,worry,oh what chuck
7386,relief,seen hope ebay replac work bit anyway lol
7387,relief,work way casualti discographi pull weed later
7388,neutral,aww sad miss see guy big screen
7389,worry,hour fifteen drive left bore ate half food alreadi
7390,surprise,coupl bu stop away lc realiz month ago
7391,neutral,finish exam everi els finish co chose differ cours friend exam thur next week
7392,worry,sooo much better biolog score bad
7393,sadness,back park sunburnt cant wait night gon na get smash bein sober jst wnt b fun
7394,sadness,ouch hate happen
7395,neutral,spoke nigga look crazi time stop plu alway use see yall want
7396,sadness,feel sooo bad
7397,worry,tri phone
7398,neutral,work work work
7399,sadness,hell go last night morn suck move tonight
7400,neutral,resort eat mickey ds alon
7401,sadness,need jb dread fact retail summer
7402,worry,move dad home work due work
7403,worry,invisibleshield gone yellow pissi colour look good
7404,neutral,exhaust new song quot day quot myspac check
7405,hate,drawn email
7406,worry,twang photopass tonit
7407,love,good morn si ala time say goodnight soon
7408,sadness,didnt research traffic beauti system twitter approx msg second grab msg sec
7409,sadness,start get sad
7410,neutral,ihop besti minu dr work cours
7411,sadness,feel like death evil headach need pack drive parent bum
7412,worry,memor first line gener prologu canterburi tale ughhh
7413,worry,big header folio hour sale yet realli impati lol
7414,sadness,reaaalli need
7415,sadness,suck
7416,neutral,lol funni thing even know class even race half peopl group ye clueless
7417,worry,oh marli sorri hope find soon lt lt
7418,worry,someon broke car big time realli bad day
7419,sadness,signal make internet quot go quot pretti bad get tech get fix though
7420,worry,guy heard flu go around swine flu hope guy safe death alreadi
7421,neutral,follow friday b need follow
7422,sadness,r p sammi
7423,happiness,thank tom loser hope go nd june rd juli date goin miss helen x
7424,neutral,doesnt joe sing anyth affenc nick ur steal spotlight guitar sing
7425,worry,pressli ann hamm miss mommi texa
7426,surprise,omg heater room day school amp boil
7427,relief,yeah got ur text well ive summer break week far bore watch tenni match
7428,neutral,think florida heat much reluctantli place
7429,hate,postpon photoshoot stupid wisconsin weather sunni work tan preschool grad night
7430,worry,believ thought morn shift today told alex could airport flight shift
7431,neutral,ran space hug jacob edward
7432,worry,shit neighbor die hit damn car feel realli sad
7433,sadness,home sore feet sad granda hous went miss
7434,worry,get free chocol still gotten email
7435,surprise,swing get close
7436,happiness,haha yeah improv nite big time make skype call soon tho tear away
7437,sadness,middl breakfast school call yep back get shey rd migrain week mayb never went away
7438,enthusiasm,remind good speak postur check awhil
7439,neutral,know
7440,neutral,join follow
7441,worry,manag schedul bill eat money time eve rent phone within coupl day
7442,love,maaaaaan love day shame ice cream near workplac decid busi elsewher got
7443,neutral,wan na someth tonight work dunno
7444,worry,alcohol make tire miss much hurt
7445,worry,ok twittin comput gon na bad get phone caus ima lost like shit
7446,worry,realli wish spoil
7447,worry,rest peac sheeba miss go cri
7448,surprise,think juz miss last bu need walk home
7449,neutral,smell badli garlic
7450,worry,today go long day
7451,neutral,ttooo
7452,neutral,yeah dude mike
7453,sadness,damn right side earphon stop work sudden need buy new one
7454,sadness,ooh icecream gone oh wait got anoth box freezor yumm
7455,neutral,brought sf fog
7456,hate,last night cork tomorrow wont even rememb doubl sad haha word lili fair
7457,neutral,curs firewal proxi server restrict wait get home
7458,sadness,never starbuck coffe entir life peopl keep make jealou
7459,surprise,oh ouch hurt damn wash machin get lt lt gt gt
7460,sadness,rt heart past day etsi boo hoo total
7461,fun,girli heard miss cheeri disposit lol
7462,worry,momma martini went food shop without
7463,neutral,dont think
7464,hate,grrr stupid internet connect ruin great scrabbl game
7465,boredom,go home like stay work alon
7466,worry,whole bodi back pain treatment detox start monday look forward summer hot yoga healthi food
7467,worry,dont think twitpic work
7468,worry,updat list notepad need someth els flickr download internet slow sluggish
7469,relief,sooo close finish exam role monday life back
7470,neutral,father stay home confer call sorri
7471,worry,got ta drop car part buddi press dentist
7472,worry,hmmm stuck upload pictur show urgent need seriou twitter help lol
7473,sadness,think ive bugger mobil ack stubborn ars refus get new
7474,sadness,weekend get close bad stuck north hope abl get next weekend real life fun
7475,neutral,
7476,happiness,outsid hour sun bloodi hot tan wait monday spend around hour outsid
7477,worry,ala best offer small poni row boat
7478,love,pretti warm forgot sick though
7479,sadness,record sent peopl obvious meant get feel bad
7480,neutral,count
7481,sadness,put tomorrow
7482,neutral,shower doctor appoint
7483,sadness,sunglass broke
7484,love,ahh haha cute togeth gt lt cutest coupl realli sweet
7485,worry,lost nintendog upset
7486,boredom,believ gorgeou weather today amp spend work
7487,hate,geez hate bein work day like feel like wast lovley day
7488,surprise,pool doesnt open tomorrow
7489,worry,bad headach
7490,worry,know sad back auto industri understand iphon would chang live
7491,worry,three hour hair still straight
7492,relief,told gon na cri kid everyon made fun year said quot good year quot
7493,worry,sorri found member preview sold awhil open noon gener public
7494,worry,exhaust sick greenish
7495,sadness,wait aaron get town leav work booo
7496,worry,feel like babysit go gym weird know miss zack
7497,relief,friday hour free tomorrow oh well
7498,worry,hope ami okai
7499,worry,stress sad pugsli miss hope he okay stuck otrip cant look someon post fb
7500,neutral,sit altanta rain boston yay fli rain help fear
7501,worry,unfortun
7502,neutral,tri lot pain though
7503,worry,bro martin need repent pam said go get meet last wknd
7504,worry,woooooow wan na join maseera bed rest drive r thi go crazi bore type
7505,worry,bleargh never clean much hous work matter earli wake today sink laundri
7506,surprise,young ladi local chines take order said cute inde piti probabl twice age
7507,hate,even look fabric unless need polar fleec worth extra go needl thread
7508,neutral,mean quot luv quot zulu xhosa probabl spelt wrong lol b creativ day tire translat
7509,empty,inconsider
7510,neutral,know feel
7511,hate,today friendli game asshol hit knee lie bed heat cream stink ice bore much
7512,worry,well paisley cone thing around head funni feel bad
7513,enthusiasm,everyon sad touch rule still get see us get
7514,worry,yeah brought back market coupl year ago scarc
7515,sadness,dont depress mother law stay weekend someon els wait kid
7516,sadness,sorri impress slightest b eat pussi like sadden confus
7517,hate,omg lg kc touchscreen fone pile shite roll new contract month
7518,sadness,cold
7519,enthusiasm,wana fan sharsi
7520,love,think kati perri
7521,sadness,surround offici niec nephew yet
7522,neutral,freez rain
7523,sadness,becom edgi bcaus lappi arriv yet
7524,sadness,anoth favorit local place bite dust sabor cubano place go amaz cuban sammich close
7525,worry,took pic cant find camera chord upload cell phone doesnt justic feel like noth
7526,fun,haha well friend parti realiz forgot stepmom bday home call
7527,neutral,saw poni use live front hous develop cush diseas tho
7528,worry,byeby web buddi cube look sad sroach idea bigtoach
7529,enthusiasm,found minut ago mama said speech still slur seem ok
7530,neutral,think make googl wave wordpress plugin next month realli test
7531,sadness,serious use spend time hous
7532,neutral,confus flippin expens
7533,worry,kid trend pretti much useless bad
7534,worry,yeaaaahh lunch food money
7535,worry,head park kid hope rain look cloudi
7536,neutral,fuck hate strawberri run special
7537,empty,go run weather
7538,worry,get clean tue get tooth pull thur got ta schedul bridg might need root canal ugh
7539,worry,brokey
7540,surprise,wasnt invit yall get togeth either playin secur told us quiet
7541,sadness,boss like check leav pleas
7542,sadness,gon na abl talk
7543,worry,sad today neighbour take beauti willow tree
7544,neutral,cart path
7545,love,damnnn day came fast cherish moment
7546,worry,pool parti inform
7547,sadness,michael scholfield dead sorri
7548,hate,what video cant watch
7549,sadness,good day skint
7550,worry,oouuch good luck
7551,worry,offic jam copier
7552,worry,gon na miss dont worri sure
7553,empty,final week dont bother studi
7554,empty,fish feel pain ye say new studi
7555,relief,final got wash hair feel much better got ta dri effffffort
7556,neutral,someon fuck birthday sex basic said song nigga selfish listen song care
7557,worry,though cloth aw collect design togeth visual art
7558,love,david mitchel present got news tonight lt love think ace lt anoth note damn headach
7559,surprise,pleas minneapoli st paul area look schedul see anyth close anytim soon
7560,love,love hate love yesterday hate tomorrow damn confus
7561,neutral,cold raini
7562,worry,potenti loss finger think get charg full proof
7563,worry,found bug rhel bnx driver cant handl high packet second gt
7564,sadness,gross hot cotton everywher hello allergi
7565,enthusiasm,babi need right right
7566,surprise,schedul say class late campjitterbug
7567,surprise,work hour
7568,worry,followfriday although doesnt consid sweetheart
7569,hate,gut get ticket pink
7570,sadness,thought wuz best friend
